File Path,Type,Responsibility,Imported by,Imports,Reachable from entry/router,Status
src/features/auth/components/Login.jsx,ui/logic,features,,src/features/auth/components/AuthUser.jsx,No,Duplicate
src/features/auth/components/Register.jsx,ui/logic,features,,src/features/auth/components/AuthUser.jsx,No,Unused candidate
src/features/auth/pages/Login.jsx,ui/logic,features,src/app/App.tsx,src/shared/contexts/AuthContext.jsx; src/shared/contexts/LanguageContext.jsx; src/shared/hooks/use-toast.js; src/shared/layout/AuthLayout.jsx; src/shared/lib/utils.js; src/shared/ui/ThemeToggle.jsx; src/shared/ui/button.jsx; src/shared/ui/checkbox.jsx; src/shared/ui/input.jsx; src/shared/ui/label.jsx; src/shared/ui/language-toggle.jsx,Yes,Refactor needed
src/features/auth/pages/Signup.jsx,ui/logic,features,src/app/App.tsx,src/features/auth/components/AuthUser.jsx; src/shared/contexts/AlertContext.jsx; src/shared/contexts/LanguageContext.jsx; src/shared/layout/AuthLayout.jsx; src/shared/lib/utils.js; src/shared/ui/ThemeToggle.jsx; src/shared/ui/button.jsx; src/shared/ui/checkbox.jsx; src/shared/ui/input.jsx; src/shared/ui/label.jsx; src/shared/ui/language-toggle.jsx,Yes,Active
src/features/clients/components/ClientsAndUnClients/clients/AddEditClient.jsx,ui/logic,features,src/features/clients/components/ClientsAndUnClients/clients/index.jsx; src/features/ui-qa/pages/UiQaPage.jsx,src/shared/components/common/GlobalModal.jsx; src/shared/contexts/AlertContext.jsx; src/shared/icons/lexicraft/index.tsx; src/shared/services/api/axiosConfig.js,Yes,Active
src/features/clients/components/ClientsAndUnClients/clients/index.jsx,ui/logic,features,src/features/clients/pages/ClientUnClientList.jsx,src/app/store/clientsSlice.js; src/features/clients/components/ClientsAndUnClients/clients/AddEditClient.jsx; src/shared/components/common/TableComponent.jsx; src/shared/contexts/AlertContext.jsx; src/shared/security/ForbiddenState.jsx; src/shared/security/SecurityContext.tsx; src/shared/security/abac.ts; src/shared/security/permissions.ts; src/shared/services/api/axiosConfig.js,Yes,Refactor needed
src/features/clients/components/ClientsAndUnClients/unclients/AddEditUnclient.jsx,ui/logic,features,src/features/clients/components/ClientsAndUnClients/unclients/index.jsx,src/shared/components/common/GlobalModal.jsx; src/shared/contexts/AlertContext.jsx; src/shared/icons/lexicraft/index.tsx; src/shared/services/api/axiosConfig.js,Yes,Active
src/features/clients/components/ClientsAndUnClients/unclients/index.jsx,ui/logic,features,src/features/clients/pages/ClientUnClientList.jsx,src/features/clients/components/ClientsAndUnClients/unclients/AddEditUnclient.jsx; src/shared/components/common/GlobalConfirmDeleteModal.jsx; src/shared/components/common/TableComponent.jsx; src/shared/services/api/axiosConfig.js,Yes,Refactor needed
src/features/clients/pages/ClientUnClientList.jsx,ui/logic,features,src/app/routes/AuthRoutes.jsx,src/features/clients/components/ClientsAndUnClients/clients/index.jsx; src/features/clients/components/ClientsAndUnClients/unclients/index.jsx; src/shared/components/common/SectionHeader.jsx; src/shared/components/common/Spinners/GlobalSpinner.jsx; src/shared/contexts/LanguageContext.jsx; src/shared/icons/lexicraft/index.tsx,Yes,Active
src/features/courts/components/Courts/case_index.component.jsx,ui/logic,features,src/app/routes/AuthRoutes.jsx,src/assets/icons/index.js; src/shared/services/api/axiosConfig.js,Yes,Active
src/features/courts/components/Courts/courtTools/Court.jsx,ui/logic,features,src/features/courts/components/Courts/court_index.component.jsx,src/shared/services/api/axiosConfig.js,No,Suspicious
src/features/courts/components/Courts/courtTools/CourtLevel.jsx,ui/logic,features,src/features/courts/components/Courts/court_index.component.jsx,src/shared/services/api/axiosConfig.js,No,Suspicious
src/features/courts/components/Courts/courtTools/CourtSubType.jsx,ui/logic,features,,src/shared/services/api/axiosConfig.js,No,Unused candidate
src/features/courts/components/Courts/courtTools/CourtType.jsx,ui/logic,features,src/features/courts/components/Courts/court_index.component.jsx,src/shared/services/api/axiosConfig.js,No,Suspicious
src/features/courts/components/Courts/court_index.component.jsx,ui/logic,features,,src/assets/icons/index.js; src/features/courts/components/Courts/courtTools/Court.jsx; src/features/courts/components/Courts/courtTools/CourtLevel.jsx; src/features/courts/components/Courts/courtTools/CourtType.jsx,No,Unused candidate
src/features/courts/pages/SearchCourtsApi.jsx,ui/logic,features,src/app/routes/AuthRoutes.jsx,src/shared/layout/SearchResults.jsx; src/shared/security/ForbiddenState.jsx; src/shared/security/SecurityContext.tsx; src/shared/security/permissions.ts; src/shared/services/api/axiosConfig.js,Yes,Active
src/features/dashboard/components/dashboard/Dashboard.jsx,ui/logic,features,src/app/routes/AuthRoutes.jsx,src/app/store/clientsSlice.js; src/features/dashboard/components/dashboard/DashboardSearch.jsx; src/shared/services/api/axiosConfig.js,Yes,Active
src/features/dashboard/components/dashboard/DashboardSearch.jsx,ui/logic,features,src/features/dashboard/components/dashboard/Dashboard.jsx,src/features/dashboard/components/dashboard/SearchModals/LegCasesModal.jsx; src/features/dashboard/components/dashboard/SearchModals/ServicesModal.jsx; src/shared/components/common/Spinners/AuthSpinner.jsx,Yes,Active
